松村月渓,Matsumura Getsukei,Matsumura Getsukei,1752 – 1811,,
加舎白雄,Kaya Shirao,Kaya Shirao,1738 – 1791,,
松岡青蘿,Matsuo Seira,Matsuo Seira,1740 – 1791,,
蝶夢,Chōmu ,Chomu ,1732-1795 ,,
川上不白,Kawakami Fuhaku,Kawakami Fuhaku,1719 – 1807,,
大伴大江丸,Ōtomo Ōemaru,otomo oemaru,1722 – 1805 ,,
黒柳召波 ,Kuroyanagi Shoha ,Kuroyanagi Shoha ,1727-71 ,,
吉川五明,Kikkawa Gomei,Kikkawa Gomei,1731－1803 ,,
榎本星布尼 ,Enomoto Seifuni,Enomoto Seifuni,1732－1815 ,,
高柳荘丹,Takayanagi Sōtan ,Takayanagi Sotan ,1734 – 1817,,
井上土朗,Inoue Shirō,Inoue Shiro,1742 – 1812,,
宮紫暁,Kyū Shigyō,Kyu Shigyo,1745 – 1802,,
栗田樗堂,Kurita Chodō,Kurita Chodo,1748 – 1814,,
夏目成美,Natsume Seibi,Natsume Seibi,1749 – 1816,,
常世田長翠,Tokoyoda Chōsui,Tokoyoda Chosui,1750－1813 ,,
高橋東臯,,,,,
田上菊舎,Tagami Kikusha,Tagami Kikusha,1753-1826,,
岩間乙二,Iwama Otsuni ,Iwama Otsuni ,1756 – 1823,,
江森月居,Emori Gekkyo ,Emori Gekkyo ,1756 - 1824,,
鈴木道彦,Suzuki Michihiko,Suzuki Michihiko ,1757 – 1819,,
藤森素檗,Fujimori Sobaku,Fujimori Sobaku,1758-1821 ,,
建部巣兆,Takebe Sōchō,Takebe Socho,1761 – 1814,,
酒井抱一,Sakai Hōitsu,Sakai Hoitsu,1761 – 1828,,
小林一茶,Kobayashi Issa,Kobayashi Issa,1763 – 1827,,
鶴田卓池,Tsuruda Takuchi,Tsuruda Takuchi,1768－1846,,
清水一瓢,Shimizu Itsubyō,Shimizu Itsubyo,1770 – 1840,,
成田蒼虬,Narita Sōkyū,Narita Sokyu,1759-1842 ,,
田川鳳朗,Tagawa Hōrō,Tagawa Horo,1762 – 1845,,
桜井梅室,Sakurai Baishitsu,Sakurai Baishitsu,1769-1852 ,,
